"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"000","BETU.PAP",0.35,1,1,0.4,0
"001","BETU.PAP",0.35,1,1,0.45,0
"002","BETU.PAP",0.35,1,1,0.5,0
"003","BETU.PAP",0.35,1,1,0.55,0
"004","BETU.PAP",0.35,1,1,0.6,0
"005","BETU.PAP",0.35,1,1,0.65,0
"006","BETU.PAP",0.35,1,1,0.7,0
"007","BETU.PAP",0.35,1,1,0.75,0
"008","BETU.PAP",0.35,1,1,0.8,0
"009","BETU.PAP",0.35,1,1,0.85,0
"010","BETU.PAP",0.35,1,1,0.9,0
"011","BETU.PAP",0.35,1,1,0.95,0
"012","BETU.PAP",0.35,1,1,1,0
"013","BETU.PAP",0.35,1,1,1.05,0
"014","BETU.PAP",0.35,1,1,1.1,0
"015","BETU.PAP",0.35,1,1,1.15,0
"016","BETU.PAP",0.35,1,1,1.2,0
"017","BETU.PAP",0.35,1,1,0.4,5e-04
"018","BETU.PAP",0.35,1,1,0.45,5e-04
"019","BETU.PAP",0.35,1,1,0.5,5e-04
"020","BETU.PAP",0.35,1,1,0.55,5e-04
"021","BETU.PAP",0.35,1,1,0.6,5e-04
"022","BETU.PAP",0.35,1,1,0.65,5e-04
"023","BETU.PAP",0.35,1,1,0.7,5e-04
"024","BETU.PAP",0.35,1,1,0.75,5e-04
"025","BETU.PAP",0.35,1,1,0.8,5e-04
"026","BETU.PAP",0.35,1,1,0.85,5e-04
"027","BETU.PAP",0.35,1,1,0.9,5e-04
"028","BETU.PAP",0.35,1,1,0.95,5e-04
"029","BETU.PAP",0.35,1,1,1,5e-04
"030","BETU.PAP",0.35,1,1,1.05,5e-04
"031","BETU.PAP",0.35,1,1,1.1,5e-04
"032","BETU.PAP",0.35,1,1,1.15,5e-04
"033","BETU.PAP",0.35,1,1,1.2,5e-04
"034","BETU.PAP",0.35,1,1,0.4,0.001
"035","BETU.PAP",0.35,1,1,0.45,0.001
"036","BETU.PAP",0.35,1,1,0.5,0.001
"037","BETU.PAP",0.35,1,1,0.55,0.001
"038","BETU.PAP",0.35,1,1,0.6,0.001
"039","BETU.PAP",0.35,1,1,0.65,0.001
"040","BETU.PAP",0.35,1,1,0.7,0.001
"041","BETU.PAP",0.35,1,1,0.75,0.001
"042","BETU.PAP",0.35,1,1,0.8,0.001
"043","BETU.PAP",0.35,1,1,0.85,0.001
"044","BETU.PAP",0.35,1,1,0.9,0.001
"045","BETU.PAP",0.35,1,1,0.95,0.001
"046","BETU.PAP",0.35,1,1,1,0.001
"047","BETU.PAP",0.35,1,1,1.05,0.001
"048","BETU.PAP",0.35,1,1,1.1,0.001
"049","BETU.PAP",0.35,1,1,1.15,0.001
"050","BETU.PAP",0.35,1,1,1.2,0.001
"051","BETU.PAP",0.35,1,1,0.4,0.002
"052","BETU.PAP",0.35,1,1,0.45,0.002
"053","BETU.PAP",0.35,1,1,0.5,0.002
"054","BETU.PAP",0.35,1,1,0.55,0.002
"055","BETU.PAP",0.35,1,1,0.6,0.002
"056","BETU.PAP",0.35,1,1,0.65,0.002
"057","BETU.PAP",0.35,1,1,0.7,0.002
"058","BETU.PAP",0.35,1,1,0.75,0.002
"059","BETU.PAP",0.35,1,1,0.8,0.002
"060","BETU.PAP",0.35,1,1,0.85,0.002
"061","BETU.PAP",0.35,1,1,0.9,0.002
"062","BETU.PAP",0.35,1,1,0.95,0.002
"063","BETU.PAP",0.35,1,1,1,0.002
"064","BETU.PAP",0.35,1,1,1.05,0.002
"065","BETU.PAP",0.35,1,1,1.1,0.002
"066","BETU.PAP",0.35,1,1,1.15,0.002
"067","BETU.PAP",0.35,1,1,1.2,0.002
"068","BETU.PAP",0.35,1,1,0.4,0.005
"069","BETU.PAP",0.35,1,1,0.45,0.005
"070","BETU.PAP",0.35,1,1,0.5,0.005
"071","BETU.PAP",0.35,1,1,0.55,0.005
"072","BETU.PAP",0.35,1,1,0.6,0.005
"073","BETU.PAP",0.35,1,1,0.65,0.005
"074","BETU.PAP",0.35,1,1,0.7,0.005
"075","BETU.PAP",0.35,1,1,0.75,0.005
"076","BETU.PAP",0.35,1,1,0.8,0.005
"077","BETU.PAP",0.35,1,1,0.85,0.005
"078","BETU.PAP",0.35,1,1,0.9,0.005
"079","BETU.PAP",0.35,1,1,0.95,0.005
"080","BETU.PAP",0.35,1,1,1,0.005
"081","BETU.PAP",0.35,1,1,1.05,0.005
"082","BETU.PAP",0.35,1,1,1.1,0.005
"083","BETU.PAP",0.35,1,1,1.15,0.005
"084","BETU.PAP",0.35,1,1,1.2,0.005
"085","BETU.PAP",0.35,1,1,0.4,0.01
"086","BETU.PAP",0.35,1,1,0.45,0.01
"087","BETU.PAP",0.35,1,1,0.5,0.01
"088","BETU.PAP",0.35,1,1,0.55,0.01
"089","BETU.PAP",0.35,1,1,0.6,0.01
"090","BETU.PAP",0.35,1,1,0.65,0.01
"091","BETU.PAP",0.35,1,1,0.7,0.01
"092","BETU.PAP",0.35,1,1,0.75,0.01
"093","BETU.PAP",0.35,1,1,0.8,0.01
"094","BETU.PAP",0.35,1,1,0.85,0.01
"095","BETU.PAP",0.35,1,1,0.9,0.01
"096","BETU.PAP",0.35,1,1,0.95,0.01
"097","BETU.PAP",0.35,1,1,1,0.01
"098","BETU.PAP",0.35,1,1,1.05,0.01
"099","BETU.PAP",0.35,1,1,1.1,0.01
"100","BETU.PAP",0.35,1,1,1.15,0.01
"101","BETU.PAP",0.35,1,1,1.2,0.01
"102","BETU.PAP",0.35,1,1,0.4,0.015
"103","BETU.PAP",0.35,1,1,0.45,0.015
"104","BETU.PAP",0.35,1,1,0.5,0.015
"105","BETU.PAP",0.35,1,1,0.55,0.015
"106","BETU.PAP",0.35,1,1,0.6,0.015
"107","BETU.PAP",0.35,1,1,0.65,0.015
"108","BETU.PAP",0.35,1,1,0.7,0.015
"109","BETU.PAP",0.35,1,1,0.75,0.015
"110","BETU.PAP",0.35,1,1,0.8,0.015
"111","BETU.PAP",0.35,1,1,0.85,0.015
"112","BETU.PAP",0.35,1,1,0.9,0.015
"113","BETU.PAP",0.35,1,1,0.95,0.015
"114","BETU.PAP",0.35,1,1,1,0.015
"115","BETU.PAP",0.35,1,1,1.05,0.015
"116","BETU.PAP",0.35,1,1,1.1,0.015
"117","BETU.PAP",0.35,1,1,1.15,0.015
"118","BETU.PAP",0.35,1,1,1.2,0.015
"119","BETU.PAP",0.35,1,1,0.4,0.02
"120","BETU.PAP",0.35,1,1,0.45,0.02
"121","BETU.PAP",0.35,1,1,0.5,0.02
"122","BETU.PAP",0.35,1,1,0.55,0.02
"123","BETU.PAP",0.35,1,1,0.6,0.02
"124","BETU.PAP",0.35,1,1,0.65,0.02
"125","BETU.PAP",0.35,1,1,0.7,0.02
"126","BETU.PAP",0.35,1,1,0.75,0.02
"127","BETU.PAP",0.35,1,1,0.8,0.02
"128","BETU.PAP",0.35,1,1,0.85,0.02
"129","BETU.PAP",0.35,1,1,0.9,0.02
"130","BETU.PAP",0.35,1,1,0.95,0.02
"131","BETU.PAP",0.35,1,1,1,0.02
"132","BETU.PAP",0.35,1,1,1.05,0.02
"133","BETU.PAP",0.35,1,1,1.1,0.02
"134","BETU.PAP",0.35,1,1,1.15,0.02
"135","BETU.PAP",0.35,1,1,1.2,0.02
