"","biasMean_tonsPerHa_Corr","biasMean_tonsPerHa_noCorr","redidualMean_proportion_Corr","redidualMean_proportion_noCorr"
"biomass_ABIE.BAL_0",-0.661522922840795,-2.91090673529642,-0.111512921567303,-0.490691559211415
"biomass_ACER.RUB_0",-0.635517565382433,0.355646754116804,-0.341425213395092,0.191067525953482
"biomass_ACER.SAH_0",-1.55866099301144,-0.456519742740054,-0.713653010141882,-0.20902344387677
"biomass_BETU.ALL_0",-1.09899142337868,-0.653428412316739,-0.490199532940713,-0.291458418795584
"biomass_BETU.PAP_0",-2.71309800998517,-1.17547113908556,-0.478676683501329,-0.207390453399832
"biomass_FAGU.GRA_0",-0.602854798853789,-0.546906277650625,-0.915123013811971,-0.830194139663323
"biomass_LARI.LAR_0",-0.242018060386879,-0.181116308647951,-0.747810996997467,-0.559630827244941
"biomass_PICE.GLA_0",1.03527346546061,2.9490899799742,0.717635922760896,2.04426461190338
"biomass_PICE.MAR_0",-0.244034108503736,13.0271445163909,-0.00901068116834443,0.481012455557409
"biomass_PICE.RUB_0",2.0777025535638,6.78472822887144,4.43190523218693,14.4723663572175
"biomass_PINU.BAN_0",5.63910695869905,27.2518676543591,1.23813351364652,5.98347413862598
"biomass_PINU.RES_0",-0.154714742538973,-0.135480359128549,-0.925841594558887,-0.81073949171579
"biomass_PINU.STR_0",0.154404470016986,0.45260005235891,0.428525902667113,1.25612196306848
"biomass_POPU.TRE_0",0.235771912025701,4.60596191935711,0.0750699237243926,1.46654114560475
"biomass_QUER.RUB_0",0.513334476189235,0.93858244260225,2.4363504542092,4.45463117404917
"biomass_THUJ.SPP.ALL_0",0.461193333378164,1.04078334618039,0.439839304163016,0.99259332179695
"biomass_TSUG.CAN_0",-0.255093864149059,-0.235208248454765,-0.751570981707869,-0.692982933112186
"biomass_TotalBiomass_0",2.73819945236417,44.3782280271489,0.0552380258806113,0.895247315232207
