"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"000","ABIE.BAL",0.18,1,1,0.5,0.005
"001","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.5,0.005
"002","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.5,0.005
"003","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.5,0.005
"004","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.5,0.005
"005","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.5,0.005
"006","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.5,0.005
"007","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.5,0.005
"008","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.5,0.005
"009","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.5,0.005
"010","ABIE.BAL",0.18,1,1,0.55,0.005
"011","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.55,0.005
"012","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.55,0.005
"013","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.55,0.005
"014","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.55,0.005
"015","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.55,0.005
"016","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.55,0.005
"017","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.55,0.005
"018","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.55,0.005
"019","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.55,0.005
"020","ABIE.BAL",0.18,1,1,0.6,0.005
"021","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.6,0.005
"022","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.6,0.005
"023","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.6,0.005
"024","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.6,0.005
"025","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.6,0.005
"026","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.6,0.005
"027","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.6,0.005
"028","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.6,0.005
"029","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.6,0.005
"030","ABIE.BAL",0.18,1,1,0.65,0.005
"031","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.65,0.005
"032","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.65,0.005
"033","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.65,0.005
"034","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.65,0.005
"035","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.65,0.005
"036","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.65,0.005
"037","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.65,0.005
"038","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.65,0.005
"039","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.65,0.005
"040","ABIE.BAL",0.18,1,1,0.7,0.005
"041","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.7,0.005
"042","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.7,0.005
"043","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.7,0.005
"044","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.7,0.005
"045","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.7,0.005
"046","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.7,0.005
"047","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.7,0.005
"048","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.7,0.005
"049","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.7,0.005
"050","ABIE.BAL",0.18,1,1,0.75,0.005
"051","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.75,0.005
"052","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.75,0.005
"053","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.75,0.005
"054","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.75,0.005
"055","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.75,0.005
"056","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.75,0.005
"057","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.75,0.005
"058","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.75,0.005
"059","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.75,0.005
"060","ABIE.BAL",0.18,1,1,0.8,0.005
"061","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.8,0.005
"062","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.8,0.005
"063","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.8,0.005
"064","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.8,0.005
"065","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.8,0.005
"066","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.8,0.005
"067","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.8,0.005
"068","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.8,0.005
"069","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.8,0.005
"070","ABIE.BAL",0.18,1,1,0.85,0.005
"071","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.85,0.005
"072","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.85,0.005
"073","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.85,0.005
"074","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.85,0.005
"075","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.85,0.005
"076","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.85,0.005
"077","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.85,0.005
"078","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.85,0.005
"079","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.85,0.005
"080","ABIE.BAL",0.18,1,1,0.9,0.005
"081","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.9,0.005
"082","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.9,0.005
"083","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.9,0.005
"084","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.9,0.005
"085","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.9,0.005
"086","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.9,0.005
"087","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.9,0.005
"088","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.9,0.005
"089","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.9,0.005
"090","ABIE.BAL",0.18,1,1,0.95,0.005
"091","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.95,0.005
"092","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.95,0.005
"093","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.95,0.005
"094","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.95,0.005
"095","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.95,0.005
"096","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.95,0.005
"097","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.95,0.005
"098","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.95,0.005
"099","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.95,0.005
"100","ABIE.BAL",0.18,1,1,1,0.005
"101","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,1,0.005
"102","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,1,0.005
"103","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,1,0.005
"104","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,1,0.005
"105","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,1,0.005
"106","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,1,0.005
"107","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,1,0.005
"108","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,1,0.005
"109","ABIE.BAL",1,5.59144650261084,5.59144650261084,1,0.005
"110","ABIE.BAL",0.18,1,1,0.5,0.01
"111","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.5,0.01
"112","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.5,0.01
"113","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.5,0.01
"114","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.5,0.01
"115","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.5,0.01
"116","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.5,0.01
"117","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.5,0.01
"118","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.5,0.01
"119","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.5,0.01
"120","ABIE.BAL",0.18,1,1,0.55,0.01
"121","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.55,0.01
"122","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.55,0.01
"123","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.55,0.01
"124","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.55,0.01
"125","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.55,0.01
"126","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.55,0.01
"127","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.55,0.01
"128","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.55,0.01
"129","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.55,0.01
"130","ABIE.BAL",0.18,1,1,0.6,0.01
"131","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.6,0.01
"132","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.6,0.01
"133","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.6,0.01
"134","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.6,0.01
"135","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.6,0.01
"136","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.6,0.01
"137","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.6,0.01
"138","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.6,0.01
"139","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.6,0.01
"140","ABIE.BAL",0.18,1,1,0.65,0.01
"141","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.65,0.01
"142","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.65,0.01
"143","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.65,0.01
"144","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.65,0.01
"145","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.65,0.01
"146","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.65,0.01
"147","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.65,0.01
"148","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.65,0.01
"149","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.65,0.01
"150","ABIE.BAL",0.18,1,1,0.7,0.01
"151","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.7,0.01
"152","ABIE.BAL",0.3,1.67743395078325,1.67743395078325,0.7,0.01
"153","ABIE.BAL",0.4,2.23657860104433,2.23657860104433,0.7,0.01
"154","ABIE.BAL",0.5,2.79572325130542,2.79572325130542,0.7,0.01
"155","ABIE.BAL",0.6,3.3548679015665,3.3548679015665,0.7,0.01
"156","ABIE.BAL",0.7,3.91401255182759,3.91401255182759,0.7,0.01
"157","ABIE.BAL",0.8,4.47315720208867,4.47315720208867,0.7,0.01
"158","ABIE.BAL",0.9,5.03230185234975,5.03230185234975,0.7,0.01
"159","ABIE.BAL",1,5.59144650261084,5.59144650261084,0.7,0.01
"160","ABIE.BAL",0.18,1,1,0.75,0.01
"161","ABIE.BAL",0.2,1.11828930052217,1.11828930052217,0.75,0.01
