LandisData "Dynamic Input Data"

>> Warning - This is a bias-corrected file

>> The following multiplier was applied to all species's original maxB and maxANPP
>>	multiplier
>>	0.55

>> The following species' parameters (maxANPP and maxB) have also been modified

>>	species		averageMaxBiomassTarget	finalMultiplier
>>	ABIE.BAL	0.6			2.7654

>>	year	landtype	species	probEst	maxANPP	maxB

0	432_1	ABIE.BAL	0.651	608	4593
0	432_1	ACER.RUB	0	0	0
0	432_1	BETU.ALL	0	0	0
0	432_1	BETU.PAP	0.786	319	2424
0	432_1	LARI.LAR	0.737	158	1695
0	432_1	PICE.GLA	0.651	608	7542
0	432_1	PICE.MAR	0.523	632	7223
0	432_1	PINU.BAN	0.692	512	5733
0	432_1	PINU.RES	0	0	0
0	432_1	PINU.STR	0	0	0
0	432_1	POPU.TRE	0.786	672	5440
0	432_2	ABIE.BAL	0.614	467	3661
0	432_2	ACER.RUB	0	0	0
0	432_2	BETU.ALL	0	0	0
0	432_2	BETU.PAP	0.692	199	1819
0	432_2	LARI.LAR	0.692	109	1031
0	432_2	PICE.GLA	0.551	384	5532
0	432_2	PICE.MAR	0.476	499	5734
0	432_2	PINU.BAN	0.581	373	4148
0	432_2	PINU.RES	0	0	0
0	432_2	PINU.STR	0	0	0
0	432_2	POPU.TRE	0.786	417	4060
0	432_3	ABIE.BAL	0.581	489	3343
0	432_3	ACER.RUB	0	0	0
0	432_3	BETU.ALL	0	0	0
0	432_3	BETU.PAP	0.692	170	1623
0	432_3	LARI.LAR	0.692	95	897
0	432_3	PICE.GLA	0.551	341	4496
0	432_3	PICE.MAR	0.476	446	5188
0	432_3	PINU.BAN	0.581	345	3871
0	432_3	PINU.RES	0	0	0
0	432_3	PINU.STR	0	0	0
0	432_3	POPU.TRE	0.786	367	3717
0	432_4	ABIE.BAL	0.614	556	4068
0	432_4	ACER.RUB	0	0	0
0	432_4	BETU.ALL	0	0	0
0	432_4	BETU.PAP	0.692	228	2009
0	432_4	LARI.LAR	0.692	149	1278
0	432_4	PICE.GLA	0.581	431	6641
0	432_4	PICE.MAR	0.498	491	6386
0	432_4	PINU.BAN	0.692	566	4594
0	432_4	PINU.RES	0	0	0
0	432_4	PINU.STR	0	0	0
0	432_4	POPU.TRE	0.786	458	4585
0	432_5	ABIE.BAL	0.581	476	2871
0	432_5	ACER.RUB	0	0	0
0	432_5	BETU.ALL	0	0	0
0	432_5	BETU.PAP	0.692	138	1415
0	432_5	LARI.LAR	0.692	74	683
0	432_5	PICE.GLA	0.551	229	3224
0	432_5	PICE.MAR	0.476	432	4490
0	432_5	PINU.BAN	0.551	341	3560
0	432_5	PINU.RES	0	0	0
0	432_5	PINU.STR	0	0	0
0	432_5	POPU.TRE	0.786	316	3111
0	434_1	ABIE.BAL	0.692	689	4931
0	434_1	ACER.RUB	0	0	0
0	434_1	BETU.ALL	0	0	0
0	434_1	BETU.PAP	0.786	350	2527
0	434_1	LARI.LAR	0.737	188	1664
0	434_1	PICE.GLA	0.651	796	8736
0	434_1	PICE.MAR	0.551	752	7948
0	434_1	PINU.BAN	0.786	725	5878
0	434_1	PINU.RES	0	0	0
0	434_1	PINU.STR	0	0	0
0	434_1	POPU.TRE	0.786	725	5482
0	434_2	ABIE.BAL	0.581	484	4148
0	434_2	ACER.RUB	0	0	0
0	434_2	BETU.ALL	0	0	0
0	434_2	BETU.PAP	0.692	261	2066
0	434_2	LARI.LAR	0.651	142	1276
0	434_2	PICE.GLA	0.551	534	6926
0	434_2	PICE.MAR	0.498	572	6602
0	434_2	PINU.BAN	0.435	436	4413
0	434_2	PINU.RES	0	0	0
0	434_2	PINU.STR	0	0	0
0	434_2	POPU.TRE	0.786	507	4770
0	434_3	ABIE.BAL	0.651	597	4262
0	434_3	ACER.RUB	0	0	0
0	434_3	BETU.ALL	0	0	0
0	434_3	BETU.PAP	0.786	283	2228
0	434_3	LARI.LAR	0.737	159	1364
0	434_3	PICE.GLA	0.651	562	7158
0	434_3	PICE.MAR	0.523	613	6700
0	434_3	PINU.BAN	0.692	589	5266
0	434_3	PINU.RES	0	0	0
0	434_3	PINU.STR	0	0	0
0	434_3	POPU.TRE	0.786	515	4937
0	434_4	ABIE.BAL	0.651	592	4665
0	434_4	ACER.RUB	0	0	0
0	434_4	BETU.ALL	0	0	0
0	434_4	BETU.PAP	0.786	311	2340
0	434_4	LARI.LAR	0.737	171	1497
0	434_4	PICE.GLA	0.651	690	8255
0	434_4	PICE.MAR	0.523	628	7285
0	434_4	PINU.BAN	0.692	609	5389
0	434_4	PINU.RES	0	0	0
0	434_4	PINU.STR	0	0	0
0	434_4	POPU.TRE	0.786	610	5230
0	434_5	ABIE.BAL	0.614	512	3670
0	434_5	ACER.RUB	0	0	0
0	434_5	BETU.ALL	0	0	0
0	434_5	BETU.PAP	0.737	209	1871
0	434_5	LARI.LAR	0.692	132	1083
0	434_5	PICE.GLA	0.581	416	5851
0	434_5	PICE.MAR	0.498	513	5860
0	434_5	PINU.BAN	0.651	508	4394
0	434_5	PINU.RES	0	0	0
0	434_5	PINU.STR	0	0	0
0	434_5	POPU.TRE	0.786	416	4336
0	435_1	ABIE.BAL	0.651	476	3366
0	435_1	ACER.RUB	0	0	0
0	435_1	BETU.ALL	0	0	0
0	435_1	BETU.PAP	0.737	191	1782
0	435_1	LARI.LAR	0.737	169	1432
0	435_1	PICE.GLA	0.581	331	4109
0	435_1	PICE.MAR	0.523	492	5226
0	435_1	PINU.BAN	0.692	667	5155
0	435_1	PINU.RES	0	0	0
0	435_1	PINU.STR	0	0	0
0	435_1	POPU.TRE	0.786	477	4112
0	435_2	ABIE.BAL	0.614	531	3952
0	435_2	ACER.RUB	0	0	0
0	435_2	BETU.ALL	0	0	0
0	435_2	BETU.PAP	0.692	229	2063
0	435_2	LARI.LAR	0.692	194	1735
0	435_2	PICE.GLA	0.581	425	6098
0	435_2	PICE.MAR	0.498	513	6304
0	435_2	PINU.BAN	0.651	770	5041
0	435_2	PINU.RES	0	0	0
0	435_2	PINU.STR	0	0	0
0	435_2	POPU.TRE	0.786	491	4863
0	435_3	ABIE.BAL	0.614	545	3736
0	435_3	ACER.RUB	0	0	0
0	435_3	BETU.ALL	0	0	0
0	435_3	BETU.PAP	0.737	228	1975
0	435_3	LARI.LAR	0.737	168	1641
0	435_3	PICE.GLA	0.581	425	5501
0	435_3	PICE.MAR	0.498	493	5882
0	435_3	PINU.BAN	0.692	789	5266
0	435_3	PINU.RES	0	0	0
0	435_3	PINU.STR	0	0	0
0	435_3	POPU.TRE	0.786	554	4579
0	435_4	ABIE.BAL	0.614	581	4469
0	435_4	ACER.RUB	0	0	0
0	435_4	BETU.ALL	0	0	0
0	435_4	BETU.PAP	0.737	307	2303
0	435_4	LARI.LAR	0.737	267	2012
0	435_4	PICE.GLA	0.581	565	7514
0	435_4	PICE.MAR	0.498	562	7163
0	435_4	PINU.BAN	0.692	732	5772
0	435_4	PINU.RES	0	0	0
0	435_4	PINU.STR	0	0	0
0	435_4	POPU.TRE	0.786	646	5367
0	435_5	ABIE.BAL	0.651	600	4358
0	435_5	ACER.RUB	0	0	0
0	435_5	BETU.ALL	0	0	0
0	435_5	BETU.PAP	0.737	304	2331
0	435_5	LARI.LAR	0.737	229	2012
0	435_5	PICE.GLA	0.651	554	7146
0	435_5	PICE.MAR	0.523	554	6927
0	435_5	PINU.BAN	0.692	858	5903
0	435_5	PINU.RES	0	0	0
0	435_5	PINU.STR	0	0	0
0	435_5	POPU.TRE	0.786	608	5378
0	436_1	ABIE.BAL	0.692	741	5213
0	436_1	ACER.RUB	0	0	0
0	436_1	BETU.ALL	0	0	0
0	436_1	BETU.PAP	0.786	432	2754
0	436_1	LARI.LAR	0.737	278	2406
0	436_1	PICE.GLA	0.651	855	9050
0	436_1	PICE.MAR	0.551	785	8070
0	436_1	PINU.BAN	0.786	1048	6812
0	436_1	PINU.RES	0	0	0
0	436_1	PINU.STR	0	0	0
0	436_1	POPU.TRE	0.786	928	6002
0	436_2	ABIE.BAL	0.692	655	4297
0	436_2	ACER.RUB	0	0	0
0	436_2	BETU.ALL	0	0	0
0	436_2	BETU.PAP	0.786	293	2330
0	436_2	LARI.LAR	0.737	211	1964
0	436_2	PICE.GLA	0.651	510	7229
0	436_2	PICE.MAR	0.551	546	6678
0	436_2	PINU.BAN	0.786	527	6354
0	436_2	PINU.RES	0	0	0
0	436_2	PINU.STR	0	0	0
0	436_2	POPU.TRE	0.786	582	5272
0	436_3	ABIE.BAL	0.692	727	5069
0	436_3	ACER.RUB	0	0	0
0	436_3	BETU.ALL	0	0	0
0	436_3	BETU.PAP	0.786	416	2698
0	436_3	LARI.LAR	0.737	258	2387
0	436_3	PICE.GLA	0.651	791	8610
0	436_3	PICE.MAR	0.551	765	7933
0	436_3	PINU.BAN	0.786	735	6921
0	436_3	PINU.RES	0	0	0
0	436_3	PINU.STR	0	0	0
0	436_3	POPU.TRE	0.786	880	6021
0	436_4	ABIE.BAL	0.692	727	4737
0	436_4	ACER.RUB	0	0	0
0	436_4	BETU.ALL	0	0	0
0	436_4	BETU.PAP	0.786	353	2544
0	436_4	LARI.LAR	0.737	263	2192
0	436_4	PICE.GLA	0.651	685	8210
0	436_4	PICE.MAR	0.551	635	7365
0	436_4	PINU.BAN	0.786	653	6771
0	436_4	PINU.RES	0	0	0
0	436_4	PINU.STR	0	0	0
0	436_4	POPU.TRE	0.786	784	5726
0	436_5	ABIE.BAL	0.692	619	5039
0	436_5	ACER.RUB	0	0	0
0	436_5	BETU.ALL	0.305	235	3244
0	436_5	BETU.PAP	0.786	419	2720
0	436_5	LARI.LAR	0.786	248	2351
0	436_5	PICE.GLA	0.651	769	8767
0	436_5	PICE.MAR	0.581	723	7810
0	436_5	PINU.BAN	0.786	745	7042
0	436_5	PINU.RES	0	0	0
0	436_5	PINU.STR	0.314	400	4237
0	436_5	POPU.TRE	0.786	862	5948
0	437_1	ABIE.BAL	0.692	647	4917
0	437_1	ACER.RUB	0.134	431	3222
0	437_1	BETU.ALL	0.372	244	3190
0	437_1	BETU.PAP	0.786	369	2611
0	437_1	LARI.LAR	0.737	273	2452
0	437_1	PICE.GLA	0.651	679	8136
0	437_1	PICE.MAR	0.581	685	7586
0	437_1	PINU.BAN	0.786	741	6960
0	437_1	PINU.RES	0.347	375	5731
0	437_1	PINU.STR	0.335	439	4039
0	437_1	POPU.TRE	0.786	807	5748
0	437_2	ABIE.BAL	0.692	561	4839
0	437_2	ACER.RUB	0.435	463	3430
0	437_2	BETU.ALL	0.551	398	3842
0	437_2	BETU.PAP	0.786	371	2643
0	437_2	LARI.LAR	0.786	276	2435
0	437_2	PICE.GLA	0.692	616	7988
0	437_2	PICE.MAR	0.614	634	7290
0	437_2	PINU.BAN	0.786	779	7091
0	437_2	PINU.RES	0.651	710	6458
0	437_2	PINU.STR	0.581	464	4523
0	437_2	POPU.TRE	0.786	794	5704
0	437_3	ABIE.BAL	0.692	622	4566
0	437_3	ACER.RUB	0.401	466	3047
0	437_3	BETU.ALL	0.551	293	3513
0	437_3	BETU.PAP	0.786	327	2503
0	437_3	LARI.LAR	0.786	274	2264
0	437_3	PICE.GLA	0.692	522	7149
0	437_3	PICE.MAR	0.614	670	6941
0	437_3	PINU.BAN	0.786	689	6915
0	437_3	PINU.RES	0.523	665	5930
0	437_3	PINU.STR	0.498	471	4410
0	437_3	POPU.TRE	0.786	674	5450
0	437_4	ABIE.BAL	0.692	672	4112
0	437_4	ACER.RUB	0.265	370	2554
0	437_4	BETU.ALL	0.435	195	2870
0	437_4	BETU.PAP	0.786	249	2204
0	437_4	LARI.LAR	0.786	242	1964
0	437_4	PICE.GLA	0.651	516	5974
0	437_4	PICE.MAR	0.614	590	5981
0	437_4	PINU.BAN	0.786	532	6477
0	437_4	PINU.RES	0.498	499	5371
0	437_4	PINU.STR	0.435	366	3882
0	437_4	POPU.TRE	0.786	485	4998
0	437_5	ABIE.BAL	0.737	725	5343
0	437_5	ACER.RUB	0.692	477	3997
0	437_5	BETU.ALL	0.551	536	4382
0	437_5	BETU.PAP	0.786	469	2885
0	437_5	LARI.LAR	0.786	338	2724
0	437_5	PICE.GLA	0.692	857	9001
0	437_5	PICE.MAR	0.614	791	8238
0	437_5	PINU.BAN	0.786	950	7418
0	437_5	PINU.RES	0.651	787	6978
0	437_5	PINU.STR	0.614	536	5433
0	437_5	POPU.TRE	0.838	963	6172
0	438_1	ABIE.BAL	0.737	592	4986
0	438_1	ACER.RUB	0.692	556	3716
0	438_1	BETU.ALL	0.581	460	4078
0	438_1	BETU.PAP	0.786	457	2786
0	438_1	LARI.LAR	0.786	238	2307
0	438_1	PICE.GLA	0.692	807	8733
0	438_1	PICE.MAR	0.614	749	7405
0	438_1	PINU.BAN	0.786	894	7396
0	438_1	PINU.RES	0.651	724	6724
0	438_1	PINU.STR	0.651	476	5316
0	438_1	POPU.TRE	0.838	897	5949
0	438_2	ABIE.BAL	0.692	868	5478
0	438_2	ACER.RUB	0.347	703	3505
0	438_2	BETU.ALL	0.523	436	3779
0	438_2	BETU.PAP	0.786	483	2843
0	438_2	LARI.LAR	0.786	350	2710
0	438_2	PICE.GLA	0.692	963	9270
0	438_2	PICE.MAR	0.614	873	8417
0	438_2	PINU.BAN	0.786	892	7313
0	438_2	PINU.RES	0.581	775	6190
0	438_2	PINU.STR	0.551	534	4682
0	438_2	POPU.TRE	0.786	1063	6211
0	438_3	ABIE.BAL	0.692	725	5370
0	438_3	ACER.RUB	0.651	308	3867
0	438_3	BETU.ALL	0.551	505	4145
0	438_3	BETU.PAP	0.786	481	2848
0	438_3	LARI.LAR	0.786	278	2644
0	438_3	PICE.GLA	0.692	905	8935
0	438_3	PICE.MAR	0.614	790	8128
0	438_3	PINU.BAN	0.786	945	7382
0	438_3	PINU.RES	0.651	620	6745
0	438_3	PINU.STR	0.614	486	5315
0	438_3	POPU.TRE	0.786	1005	6213
0	438_4	ABIE.BAL	0.692	810	5406
0	438_4	ACER.RUB	0.523	514	3496
0	438_4	BETU.ALL	0.523	451	3977
0	438_4	BETU.PAP	0.786	467	2876
0	438_4	LARI.LAR	0.786	322	2672
0	438_4	PICE.GLA	0.692	916	9317
0	438_4	PICE.MAR	0.614	812	8301
0	438_4	PINU.BAN	0.786	896	7297
0	438_4	PINU.RES	0.581	778	6173
0	438_4	PINU.STR	0.551	538	4927
0	438_4	POPU.TRE	0.786	1019	6156
0	438_5	ABIE.BAL	0.737	642	5227
0	438_5	ACER.RUB	0.692	717	3850
0	438_5	BETU.ALL	0.581	512	4319
0	438_5	BETU.PAP	0.786	485	2895
0	438_5	LARI.LAR	0.786	289	2494
0	438_5	PICE.GLA	0.692	892	9008
0	438_5	PICE.MAR	0.614	796	7930
0	438_5	PINU.BAN	0.786	948	7533
0	438_5	PINU.RES	0.651	691	6999
0	438_5	PINU.STR	0.651	499	5459
0	438_5	POPU.TRE	0.838	973	6109
