"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"0000","ABIE.BAL",0.2,0.921808162251282,0.921808162251282,0.75,0
"0001","ABIE.BAL",0.25,1.1522602028141,1.1522602028141,0.75,0
"0002","ABIE.BAL",0.3,1.38271224337692,1.38271224337692,0.75,0
"0003","ABIE.BAL",0.35,1.61316428393974,1.61316428393974,0.75,0
"0004","ABIE.BAL",0.4,1.84361632450256,1.84361632450256,0.75,0
"0005","ABIE.BAL",0.45,2.07406836506538,2.07406836506538,0.75,0
"0006","ABIE.BAL",0.5,2.3045204056282,2.3045204056282,0.75,0
"0007","ABIE.BAL",0.55,2.53497244619102,2.53497244619102,0.75,0
"0008","ABIE.BAL",0.6,2.76542448675385,2.76542448675385,0.75,0
"0009","ABIE.BAL",0.65,2.99587652731667,2.99587652731667,0.75,0
"0010","ABIE.BAL",0.7,3.22632856787949,3.22632856787949,0.75,0
"0011","ABIE.BAL",0.75,3.45678060844231,3.45678060844231,0.75,0
"0012","ABIE.BAL",0.8,3.68723264900513,3.68723264900513,0.75,0
"0013","ABIE.BAL",0.85,3.91768468956795,3.91768468956795,0.75,0
"0014","ABIE.BAL",0.9,4.14813673013077,4.14813673013077,0.75,0
"0015","ABIE.BAL",0.95,4.37858877069359,4.37858877069359,0.75,0
"0016","ABIE.BAL",1,4.60904081125641,4.60904081125641,0.75,0
"0017","ABIE.BAL",0.2,0.921808162251282,0.921808162251282,0.8,0
"0018","ABIE.BAL",0.25,1.1522602028141,1.1522602028141,0.8,0
"0019","ABIE.BAL",0.3,1.38271224337692,1.38271224337692,0.8,0
"0020","ABIE.BAL",0.35,1.61316428393974,1.61316428393974,0.8,0
"0021","ABIE.BAL",0.4,1.84361632450256,1.84361632450256,0.8,0
"0022","ABIE.BAL",0.45,2.07406836506538,2.07406836506538,0.8,0
"0023","ABIE.BAL",0.5,2.3045204056282,2.3045204056282,0.8,0
"0024","ABIE.BAL",0.55,2.53497244619102,2.53497244619102,0.8,0
