"","biasMean_tonsPerHa_Corr","biasMean_tonsPerHa_noCorr","redidualMean_proportion_Corr","redidualMean_proportion_noCorr"
"biomass_ABIE.BAL_0",3.0677096732997,-11.4738001394574,0.175439044372128,-0.656174392675827
"biomass_ACER.RUB_0",-6.53579297417445,-3.39499530452693,-0.601412231441621,-0.312401526470821
"biomass_ACER.SAH_0",-5.36838457379652,-1.78660349989579,-0.618119200264621,-0.205710658646904
"biomass_BETU.ALL_0",-3.1456960211621,-1.36741165668116,-0.675032064583631,-0.293431630880918
"biomass_BETU.PAP_0",-6.34942028874082,-1.43312748086661,-0.708074090115851,-0.159819383642642
"biomass_FAGU.GRA_0",-0.710686986344321,-0.0408040405132103,-0.535859470159962,-0.0307663316620814
"biomass_LARI.LAR_0",-0.263908699985679,0.11743025396634,-0.50316954919763,0.223893065873209
"biomass_PICE.GLA_0",2.94074869005474,20.2958800135443,0.508390397867385,3.50870870062768
"biomass_PICE.MAR_0",-2.38802144824749,13.3709693824585,-0.233607827557846,1.30801300468675
"biomass_PICE.RUB_0",1.84484580621592,7.52351607602247,1.2420801806235,5.06536111318569
"biomass_PINU.BAN_0",-0.189959190871165,1.8403801944177,-0.0972019112691524,0.941720542917145
"biomass_PINU.RES_0",-0.325865364813796,-0.0185303716254654,-0.384744001360965,-0.0218785120964331
"biomass_PINU.STR_0",-0.433462711575361,-0.10422973659022,-0.64054781065552,-0.154025081731764
"biomass_POPU.TRE_0",0.154026007185536,15.966610989049,0.024190080973935,2.50758699626075
"biomass_QUER.RUB_0",-0.204332302541605,-0.107654966769619,-0.729876871773115,-0.384544535539842
"biomass_THUJ.SPP.ALL_0",-0.505088821274878,3.22261459034656,-0.171542995818084,1.09449454810695
"biomass_TSUG.CAN_0",-0.385173537399897,0.340848161383413,-0.446480475290273,0.395099959679428
"biomass_TotalBiomass_0",-15.2432445356703,41.6124521327664,-0.199240760683158,0.543906292221618
