"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"000","ABIE.BAL",0.18,1,1,0.4,0
"001","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.4,0
"002","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.4,0
"003","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.4,0
"004","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.4,0
"005","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.4,0
"006","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.4,0
"007","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.4,0
"008","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.4,0
"009","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.4,0
"010","ABIE.BAL",0.18,1,1,0.5,0
"011","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.5,0
"012","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.5,0
"013","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.5,0
"014","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.5,0
"015","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.5,0
"016","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.5,0
"017","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.5,0
"018","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.5,0
"019","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.5,0
"020","ABIE.BAL",0.18,1,1,0.6,0
"021","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.6,0
"022","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.6,0
"023","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.6,0
"024","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.6,0
"025","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.6,0
"026","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.6,0
"027","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.6,0
"028","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.6,0
"029","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.6,0
"030","ABIE.BAL",0.18,1,1,0.7,0
"031","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.7,0
"032","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.7,0
"033","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.7,0
"034","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.7,0
"035","ABIE.BAL",0.6,3.39449125952488,3.39449125952488,0.7,0
"036","ABIE.BAL",0.7,3.96023980277902,3.96023980277902,0.7,0
"037","ABIE.BAL",0.8,4.52598834603317,4.52598834603317,0.7,0
"038","ABIE.BAL",0.9,5.09173688928732,5.09173688928732,0.7,0
"039","ABIE.BAL",1,5.65748543254146,5.65748543254146,0.7,0
"040","ABIE.BAL",0.18,1,1,0.8,0
"041","ABIE.BAL",0.2,1.13149708650829,1.13149708650829,0.8,0
"042","ABIE.BAL",0.3,1.69724562976244,1.69724562976244,0.8,0
"043","ABIE.BAL",0.4,2.26299417301658,2.26299417301658,0.8,0
"044","ABIE.BAL",0.5,2.82874271627073,2.82874271627073,0.8,0
