"","biasMean_tonsPerHa_Corr","biasMean_tonsPerHa_noCorr","redidualMean_proportion_Corr","redidualMean_proportion_noCorr"
"layer.1",1.53458454189492,-6.6145833664905,0.0986703438301973,-0.425302873349164
"layer.2",-9.68738190168852,-1.59302630630931,-0.687616399392507,-0.113073999146356
"layer.3",-6.36702665785609,0.372979611355721,-0.627108217342927,0.0367359195667798
"layer.4",-1.63306284376443,6.52130284927624,-0.329572907232736,1.316082076809
"layer.5",-3.67357701436802,4.23354935898508,-0.469272610153599,0.54080498384401
"layer.6",-0.294071734540323,0.675658571262992,-0.219980142762124,0.505425892757827
"layer.7",0.142699618353996,1.64525127670195,0.202384849703543,2.33339048976203
"layer.8",-0.346555627416019,0.245938461530579,-0.565888552542799,0.40159140120692
"layer.9",7.32934924282978,28.7631643435833,1.47818166954209,5.80094915415656
"layer.10",0.784324240696608,17.5727074354571,0.107642763979916,2.41172553494329
"layer.11",5.37506698010768,14.3556509443501,3.32335567168838,8.87597013455802
"layer.12",-0.010956315650438,1.91897725584912,-0.00840588531002014,1.47227437031353
"layer.13",-0.44966280695349,0.0451488127555983,-0.534035577048772,0.0536203392856923
"layer.14",-0.0556105397875617,1.14889821597625,-0.0959745025422998,1.98280640992302
"layer.15",3.85708651724474,26.024985095011,0.59272723402416,3.99931849128056
"layer.16",-0.0241996567238383,0.30553379577603,-0.117487977930657,1.48334946502955
"layer.17",1.30201628109351,12.7790437099961,0.360006450358447,3.5333952668759
"layer.18",1.24732489159684,9.11753929098074,0.659303130039953,4.81929145590146
"layer.19",-0.0928719683484266,106.941032193437,-0.00120716993667535,1.39004267225844
