"simDir","species","averageMaxBiomassTarget","spAnppMultiplier","spBiomassMultiplier","maxBiomassMultiplier","spinupMortalityFraction"
"000","ABIE.BAL",0.17,1,1,0.3,0
"001","ABIE.BAL",0.2,1.17649406003446,1.17649406003446,0.3,0
"002","ABIE.BAL",0.3,1.76474109005169,1.76474109005169,0.3,0
"003","ABIE.BAL",0.4,2.35298812006892,2.35298812006892,0.3,0
"004","ABIE.BAL",0.5,2.94123515008615,2.94123515008615,0.3,0
"005","ABIE.BAL",0.6,3.52948218010338,3.52948218010338,0.3,0
"006","ABIE.BAL",0.7,4.11772921012061,4.11772921012061,0.3,0
"007","ABIE.BAL",0.8,4.70597624013784,4.70597624013784,0.3,0
"008","ABIE.BAL",0.9,5.29422327015507,5.29422327015507,0.3,0
"009","ABIE.BAL",1,5.8824703001723,5.8824703001723,0.3,0
"010","ABIE.BAL",0.17,1,1,0.4,0
"011","ABIE.BAL",0.2,1.17649406003446,1.17649406003446,0.4,0
"012","ABIE.BAL",0.3,1.76474109005169,1.76474109005169,0.4,0
"013","ABIE.BAL",0.4,2.35298812006892,2.35298812006892,0.4,0
"014","ABIE.BAL",0.5,2.94123515008615,2.94123515008615,0.4,0
"015","ABIE.BAL",0.6,3.52948218010338,3.52948218010338,0.4,0
"016","ABIE.BAL",0.7,4.11772921012061,4.11772921012061,0.4,0
"017","ABIE.BAL",0.8,4.70597624013784,4.70597624013784,0.4,0
"018","ABIE.BAL",0.9,5.29422327015507,5.29422327015507,0.4,0
"019","ABIE.BAL",1,5.8824703001723,5.8824703001723,0.4,0
"020","ABIE.BAL",0.17,1,1,0.5,0
"021","ABIE.BAL",0.2,1.17649406003446,1.17649406003446,0.5,0
"022","ABIE.BAL",0.3,1.76474109005169,1.76474109005169,0.5,0
"023","ABIE.BAL",0.4,2.35298812006892,2.35298812006892,0.5,0
"024","ABIE.BAL",0.5,2.94123515008615,2.94123515008615,0.5,0
"025","ABIE.BAL",0.6,3.52948218010338,3.52948218010338,0.5,0
"026","ABIE.BAL",0.7,4.11772921012061,4.11772921012061,0.5,0
"027","ABIE.BAL",0.8,4.70597624013784,4.70597624013784,0.5,0
"028","ABIE.BAL",0.9,5.29422327015507,5.29422327015507,0.5,0
"029","ABIE.BAL",1,5.8824703001723,5.8824703001723,0.5,0
"030","ABIE.BAL",0.17,1,1,0.6,0
"031","ABIE.BAL",0.2,1.17649406003446,1.17649406003446,0.6,0
"032","ABIE.BAL",0.3,1.76474109005169,1.76474109005169,0.6,0
"033","ABIE.BAL",0.4,2.35298812006892,2.35298812006892,0.6,0
"034","ABIE.BAL",0.5,2.94123515008615,2.94123515008615,0.6,0
"035","ABIE.BAL",0.6,3.52948218010338,3.52948218010338,0.6,0
"036","ABIE.BAL",0.7,4.11772921012061,4.11772921012061,0.6,0
"037","ABIE.BAL",0.8,4.70597624013784,4.70597624013784,0.6,0
"038","ABIE.BAL",0.9,5.29422327015507,5.29422327015507,0.6,0
"039","ABIE.BAL",1,5.8824703001723,5.8824703001723,0.6,0
"040","ABIE.BAL",0.17,1,1,0.7,0
"041","ABIE.BAL",0.2,1.17649406003446,1.17649406003446,0.7,0
"042","ABIE.BAL",0.3,1.76474109005169,1.76474109005169,0.7,0
"043","ABIE.BAL",0.4,2.35298812006892,2.35298812006892,0.7,0
"044","ABIE.BAL",0.5,2.94123515008615,2.94123515008615,0.7,0
"045","ABIE.BAL",0.6,3.52948218010338,3.52948218010338,0.7,0
"046","ABIE.BAL",0.7,4.11772921012061,4.11772921012061,0.7,0
"047","ABIE.BAL",0.8,4.70597624013784,4.70597624013784,0.7,0
"048","ABIE.BAL",0.9,5.29422327015507,5.29422327015507,0.7,0
"049","ABIE.BAL",1,5.8824703001723,5.8824703001723,0.7,0
"050","ABIE.BAL",0.17,1,1,0.8,0
"051","ABIE.BAL",0.2,1.17649406003446,1.17649406003446,0.8,0
"052","ABIE.BAL",0.3,1.76474109005169,1.76474109005169,0.8,0
"053","ABIE.BAL",0.4,2.35298812006892,2.35298812006892,0.8,0
"054","ABIE.BAL",0.5,2.94123515008615,2.94123515008615,0.8,0
"055","ABIE.BAL",0.6,3.52948218010338,3.52948218010338,0.8,0
"056","ABIE.BAL",0.7,4.11772921012061,4.11772921012061,0.8,0
"057","ABIE.BAL",0.8,4.70597624013784,4.70597624013784,0.8,0
"058","ABIE.BAL",0.9,5.29422327015507,5.29422327015507,0.8,0
"059","ABIE.BAL",1,5.8824703001723,5.8824703001723,0.8,0
"060","ABIE.BAL",0.17,1,1,0.9,0
"061","ABIE.BAL",0.2,1.17649406003446,1.17649406003446,0.9,0
"062","ABIE.BAL",0.3,1.76474109005169,1.76474109005169,0.9,0
"063","ABIE.BAL",0.4,2.35298812006892,2.35298812006892,0.9,0
"064","ABIE.BAL",0.5,2.94123515008615,2.94123515008615,0.9,0
"065","ABIE.BAL",0.6,3.52948218010338,3.52948218010338,0.9,0
"066","ABIE.BAL",0.7,4.11772921012061,4.11772921012061,0.9,0
"067","ABIE.BAL",0.8,4.70597624013784,4.70597624013784,0.9,0
"068","ABIE.BAL",0.9,5.29422327015507,5.29422327015507,0.9,0
"069","ABIE.BAL",1,5.8824703001723,5.8824703001723,0.9,0
"070","ABIE.BAL",0.17,1,1,1,0
"071","ABIE.BAL",0.2,1.17649406003446,1.17649406003446,1,0
"072","ABIE.BAL",0.3,1.76474109005169,1.76474109005169,1,0
"073","ABIE.BAL",0.4,2.35298812006892,2.35298812006892,1,0
"074","ABIE.BAL",0.5,2.94123515008615,2.94123515008615,1,0
"075","ABIE.BAL",0.6,3.52948218010338,3.52948218010338,1,0
"076","ABIE.BAL",0.7,4.11772921012061,4.11772921012061,1,0
"077","ABIE.BAL",0.8,4.70597624013784,4.70597624013784,1,0
"078","ABIE.BAL",0.9,5.29422327015507,5.29422327015507,1,0
"079","ABIE.BAL",1,5.8824703001723,5.8824703001723,1,0
"080","ABIE.BAL",0.17,1,1,0.3,5e-04
"081","ABIE.BAL",0.2,1.17649406003446,1.17649406003446,0.3,5e-04
"082","ABIE.BAL",0.3,1.76474109005169,1.76474109005169,0.3,5e-04
"083","ABIE.BAL",0.4,2.35298812006892,2.35298812006892,0.3,5e-04
"084","ABIE.BAL",0.5,2.94123515008615,2.94123515008615,0.3,5e-04
