"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4392","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",590,850,473,529,530,684,556,749,728,556,535,571,846,828,666,520,470,754,756,596,547,469,773,751,520,840,617,525,561,553,742,601,865,639,515,489,521,680,582,868,586,569,953,660,707,640,616,600,578,1028,744,571,702,550,560,609,555,645,503,602,688,496,718,496,698,535,699,697,445,568,562,716,866,916,517,650,592,735,663,808
"ACER.RUB",850,641,909,831,789,0,0,0,0,0,725,688,0,587,601,697,883,645,0,750,824,792,633,733,1004,715,1873,1007,968,1002,877,928,1381,1095,1041,1119,1385,1720,1214,1467,869,1088,1023,1236,1056,1187,1042,1669,1695,927,1103,1612,1389,1446,1523,1135,1030,1228,1150,1192,0,0,0,0,0,880,0,0,763,830,482,0,0,0,484,1208,944,1560,1195,2474
"ACER.SAH",530,246,333,435,586,0,0,0,0,0,418,321,0,76,462,167,294,2,0,286,295,337,283,255,771,840,324,439,328,401,484,412,337,368,399,420,404,305,373,498,464,452,531,626,419,566,454,1016,1175,437,614,452,449,554,643,502,397,661,565,573,0,0,0,0,0,497,0,0,0,0,384,0,0,2,355,387,418,425,344,394
"BETU.ALL",738,545,655,628,582,421,534,645,706,691,559,742,1005,437,466,734,1009,564,621,562,478,595,587,434,620,526,610,1082,601,737,642,691,549,798,781,684,779,732,724,898,616,933,832,1039,935,852,838,804,771,790,851,1116,1058,1151,1200,858,859,1004,903,999,0,635,735,560,0,487,412,465,642,595,785,593,451,510,888,932,832,644,860,775
"BETU.PAP",1054,739,926,982,878,475,842,604,706,845,881,938,488,660,794,945,840,641,574,798,859,852,606,712,932,791,862,968,877,968,758,829,640,923,972,930,896,828,1061,711,603,1001,742,993,865,942,942,1067,1031,820,726,915,878,1075,1079,1043,849,1117,951,1085,470,841,584,933,719,988,530,715,881,811,914,828,726,609,758,984,965,844,907,727
"FAGU.GRA",0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,968,979,1122,1101,1738,1980,0,0,1932,719,934,820,805,722,1496,1150,1583,1644,1438,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARI.LAR",634,439,563,592,502,438,556,571,539,599,763,753,580,661,728,682,760,629,514,565,542,690,560,651,701,784,880,786,822,894,493,673,475,690,628,741,621,619,790,646,428,710,530,797,535,836,734,820,799,494,715,791,516,994,684,511,518,780,675,893,290,590,372,640,475,533,356,431,559,514,621,828,746,717,752,779,746,637,843,764
"PICE.GLA",2110,1291,1761,1955,1646,1143,1554,1170,1368,1715,1783,1953,1057,1359,1612,1671,1579,1197,1037,1409,1458,1585,1025,1202,1768,1279,1816,2119,1646,1977,1376,1609,1106,1770,1861,1875,1678,1532,2029,1275,1141,1795,1494,2043,1740,1969,1725,2133,2062,1534,1513,1847,1643,2109,1955,1982,1622,2176,1828,2113,1005,1657,1230,1736,1427,1904,1084,1279,1642,1448,1899,1844,1597,1308,1765,2152,2127,1969,2051,1785
"PICE.MAR",1275,1157,1367,1176,1307,1224,1166,1355,1111,1210,1221,1318,1045,1183,1348,1174,1095,1280,1175,1379,1286,1124,1124,1198,1453,982,1216,1274,1273,1244,1627,1317,1273,1282,1266,1171,1159,1124,1325,1282,1174,1608,1332,1538,1261,1131,1144,1362,1323,935,1070,941,1004,1195,1299,1335,1378,1336,1166,1361,1266,1195,1222,1177,1115,1167,1065,1148,1099,1265,1263,1139,1205,1294,1217,1309,1267,1273,1303,1293
