"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",272,240,248,21,272,NA,279,258,154,263,NA,309,306,306,103,13,181,33,68,299,246,257,54,233,279,NA,NA,220,NA,14,0,0,214,0,298,280,7,245,314,317,241,255,126,0,146,17,140,150,38,273,1,117,199,82,261,86,217,201,141,84,249,279,325,106,272,242,65,256,262,235,232,285,243,139,271,190,259,51,244
"ACER.RUB",832,621,739,246,819,NA,501,765,419,680,NA,661,840,845,375,252,545,229,309,598,675,718,281,677,901,21,74,790,NA,488,192,287,672,282,975,712,351,735,770,746,935,942,829,296,660,336,517,817,462,1208,361,759,1040,824,1199,459,1094,1217,858,428,576,652,687,544,649,748,414,697,649,716,542,825,714,462,630,686,795,362,693
"ACER.SAH",317,178,206,8,277,NA,189,336,140,330,NA,290,317,355,48,45,207,56,60,296,276,266,55,197,377,NA,NA,207,NA,6,0,0,157,0,352,194,8,230,186,287,224,278,153,0,144,29,111,229,79,377,2,159,321,128,264,181,292,363,174,92,232,280,341,236,223,326,84,281,162,331,114,433,352,127,160,181,274,58,400
"BETU.ALL",415,405,505,242,547,NA,357,468,252,411,NA,573,620,519,205,172,299,182,290,473,457,422,295,387,571,NA,199,415,NA,306,249,155,451,171,531,442,167,381,358,527,503,538,391,185,396,203,236,526,260,548,240,490,445,442,520,267,469,492,335,260,429,474,574,264,406,510,173,481,336,495,264,574,599,196,417,343,513,169,543
"BETU.PAP",478,382,344,215,380,6,375,466,237,482,NA,482,541,489,233,187,273,202,225,438,371,415,280,399,501,13,76,376,13,225,210,200,426,227,492,409,213,393,394,494,472,424,310,158,350,227,193,421,294,492,172,416,469,350,421,319,447,499,383,228,430,509,500,259,447,481,237,414,393,405,202,511,545,178,453,361,532,235,496
"FAGU.GRA",433,308,393,291,461,NA,280,283,229,343,NA,350,384,314,230,210,271,228,291,407,349,375,173,282,463,NA,469,428,NA,213,172,256,393,182,500,432,167,453,415,451,453,490,458,195,466,241,368,580,281,645,351,566,575,533,615,381,598,568,470,230,290,295,305,214,257,386,296,336,230,382,174,387,371,233,575,404,533,291,424
"LARI.LAR",265,88,129,0,63,NA,103,225,63,238,NA,206,266,118,32,23,74,44,48,212,95,140,14,197,211,NA,NA,182,NA,0,0,0,89,0,239,74,0,198,168,201,96,186,87,0,92,1,36,114,11,229,0,103,123,23,177,68,74,208,34,69,89,63,283,33,99,85,45,73,83,112,147,223,182,89,97,102,196,0,262
"PICE.GLA",537,553,433,83,391,NA,656,522,280,588,NA,457,501,593,94,105,227,95,143,694,565,586,202,550,518,NA,NA,553,NA,175,51,82,431,101,424,465,66,596,648,424,484,639,394,61,352,182,367,299,253,329,157,323,240,0,384,466,205,375,194,356,391,559,615,304,356,501,202,516,544,502,244,646,585,292,420,514,623,351,496
"PICE.MAR",419,339,424,24,279,NA,270,422,167,463,NA,455,526,476,60,34,272,71,90,365,336,506,41,404,413,NA,NA,330,NA,9,1,1,274,1,408,352,16,360,415,318,185,274,161,0,82,41,31,259,40,132,0,88,121,26,149,141,119,426,133,129,349,453,465,347,300,410,103,376,314,349,215,535,445,138,251,95,391,38,390
