"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4392","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",636,759,552,592,755,830,587,783,622,588,606,624,830,579,510,617,485,611,816,616,583,538,902,697,593,692,543,617,600,606,703,541,1037,480,555,588,625,506,682,1279,463,586,887,537,958,556,719,650,534,1093,900,882,783,587,537,541,969,619,639,517,713,525,701,580,525,595,528,637,501,637,631,656,561,659,521,594,612,777,783,781
"ACER.RUB",2142,2038,1770,1859,1722,792,1588,1673,1658,1521,1816,2048,1872,1628,1703,1714,1691,1949,832,1425,1598,1640,1452,1402,2012,1455,2034,2248,1810,2120,1761,1935,1344,2115,2202,2015,2082,1802,2240,1381,1542,2185,1651,2400,2133,2126,1845,2377,2117,1795,1811,2252,2085,2470,2315,2286,1855,2404,2095,2396,1417,1674,1995,1774,1928,1901,1055,1399,1655,1513,1954,1678,1557,1378,1718,2255,2193,2071,2110,1909
"ACER.SAH",819,528,485,568,455,317,451,465,434,683,699,829,370,427,626,642,619,419,385,502,598,633,416,396,785,382,616,912,488,693,389,476,550,645,744,744,604,447,750,500,508,526,470,683,455,543,447,710,666,552,598,439,875,795,680,617,524,899,620,631,524,548,356,750,408,736,352,458,578,463,763,780,468,412,562,732,625,448,656,430
"BETU.ALL",1374,983,1295,1356,1243,586,1127,884,987,1222,1288,1402,836,1013,1197,1252,1223,934,784,1107,1143,1249,790,1039,1269,980,1199,1332,1184,1210,1105,1091,1002,1232,1247,1330,1171,1117,1324,1003,852,1248,978,1282,1144,1156,1152,1362,1237,991,1067,1155,1069,1295,1273,1179,1049,1467,1196,1310,736,1111,880,1284,1023,1366,777,1025,1233,1143,1411,1301,1179,965,1230,1250,1264,1160,1182,1115
"BETU.PAP",1066,748,1025,1032,936,555,885,752,812,992,1010,1040,671,802,893,1021,941,822,680,886,869,946,655,756,1019,721,916,1033,874,1040,805,847,675,924,956,1012,866,823,1082,678,666,933,773,981,854,985,834,1052,1034,731,756,834,839,1031,1006,1018,829,1078,900,1037,616,965,760,1001,845,1046,681,787,948,843,1045,1050,877,798,978,1013,958,945,988,833
"FAGU.GRA",917,626,754,788,759,993,667,628,863,668,665,985,1092,633,839,616,644,546,1145,580,781,766,591,640,888,773,1174,1223,819,1170,1015,1106,784,1130,1214,945,1129,909,1227,760,1017,1315,1172,1340,1238,1243,1212,1289,1248,1075,1189,1407,1341,1369,1445,1272,1179,1386,1237,1368,1343,608,921,728,1096,780,554,619,623,554,738,620,569,575,790,1234,1342,1241,1263,1266
"LARI.LAR",530,280,557,515,411,323,556,493,594,608,633,675,518,583,641,646,643,542,543,558,598,611,513,521,673,643,657,539,750,823,548,619,437,489,509,679,589,543,742,563,311,481,295,515,539,724,605,831,726,506,587,702,615,899,719,622,517,687,659,771,228,495,276,521,514,532,406,422,562,486,675,781,559,535,650,779,620,502,561,400
"PICE.GLA",1931,1183,1764,1876,1567,1159,1586,1145,1395,1877,1954,2024,1002,1331,1685,1882,1659,1234,1118,1475,1419,1605,1079,1226,1826,1249,1681,2049,1512,1929,1281,1495,1118,1597,1830,1882,1576,1410,1977,1209,1056,1700,1276,1816,1541,1813,1505,2017,1888,1384,1232,1558,1458,1859,1840,1817,1420,1975,1539,1910,1028,1778,1242,1959,1589,1928,1130,1169,1675,1510,2063,2021,1680,1345,1867,2058,1905,1777,1814,1526
"PICE.MAR",1138,1356,1055,1021,1061,1038,1111,1242,1226,1107,1180,1270,1235,1262,1359,1150,1157,1235,1126,1317,1255,1144,1527,1248,1137,1183,1229,1227,1499,1175,1133,1193,1360,1027,1033,1198,1447,1240,1166,1330,882,1106,1413,1126,1427,1577,1336,1305,1152,1565,910,1437,1284,1138,1093,1411,1470,1472,1240,1241,1179,1104,1260,1178,1099,1064,1143,1167,1067,1116,1089,1204,1235,1111,1033,1168,1168,1408,1323,1262
