"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4392","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",3627,3161,3443,3575,3405,2816,3258,3024,3094,3388,3440,3638,2834,3193,3299,3499,3410,3130,2904,3285,3329,3419,3020,3184,3628,3258,3614,3761,3430,3685,3326,3486,3141,3576,3675,3614,3504,3398,3760,3218,2999,3591,3277,3757,3460,3760,3534,3874,3795,3368,3278,3478,3294,3812,3759,3648,3372,3849,3619,3770,2683,3325,2945,3482,3091,3556,2918,3132,3406,3258,3568,3428,3294,3154,3413,3777,3643,3494,3572,3415
"ACER.RUB",6977,3585,4622,4934,5062,0,0,0,0,0,2161,4125,0,1623,2012,2043,3234,1776,0,2498,3950,3800,2986,3254,6864,5747,7588,7551,6369,7162,7793,8419,6731,8681,9238,6639,9002,6866,8302,6240,8614,10148,9755,10915,10179,9790,9614,9591,9093,8888,10481,11811,11249,10931,11447,9897,9764,10620,9856,10407,0,0,0,0,0,4718,0,0,2741,1814,2906,0,0,0,2698,7546,8902,7660,7438,8060
"ACER.SAH",4731,1518,2285,3592,4202,0,0,0,0,0,1533,2430,0,373,1469,1055,1813,10,0,1385,2051,2057,1374,1624,4948,4102,4707,4836,3828,4400,4562,4911,3850,5190,5534,4313,5259,4039,5165,3741,4350,5696,5189,6211,5481,5834,5487,5754,5522,5082,5363,6584,5859,6492,6658,5717,5430,6265,5560,6185,0,0,0,0,0,3493,0,0,0,0,1794,0,0,5,1473,4814,5389,4590,4403,4431
"BETU.ALL",9905,8335,8863,9630,9289,3460,5431,4441,4593,4707,6435,9312,3283,5115,6145,6399,8409,5351,3885,6567,8680,8746,7646,8199,10033,9377,10378,9973,9764,10557,10601,10538,9621,10579,11466,10237,10796,10276,10647,8762,10698,11314,11347,12024,11661,11053,11334,11451,11388,10860,11579,12120,11642,11893,12276,11480,11391,12036,11297,11096,0,5790,3696,6210,0,9491,4356,5784,6948,5987,8071,5034,5274,5202,8065,10161,10949,10537,10327,10446
"BETU.PAP",5268,4754,5102,5241,5005,4235,4918,4500,4726,5027,5011,5257,4262,4731,4971,5074,5010,4716,4378,4852,4939,5023,4557,4710,5185,4861,5096,5284,5077,5233,5024,5170,4772,5279,5276,5225,5214,4977,5345,4804,4653,5330,5062,5546,5198,5325,5232,5466,5388,5032,4933,5202,5037,5370,5336,5282,5025,5412,5222,5363,4232,4943,4551,5020,4693,5121,4286,4640,5026,4845,5163,5090,4873,4678,5030,5344,5302,5161,5237,5057
"FAGU.GRA",0,0,0,0,0,NA,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9490,5918,9550,9705,9730,9306,9742,0,0,9842,10651,12185,11605,9745,10494,9009,9431,9249,9078,8893,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARI.LAR",3296,2224,2954,3153,2767,2364,3065,2732,2910,3053,3366,3482,2800,3178,3306,3496,3414,2989,2651,3230,3270,3428,2820,3030,3587,3473,4033,4295,3833,4135,3090,3324,2737,3466,3607,3653,3379,3266,3772,2991,2095,3440,2680,3574,3038,3633,3398,3850,3719,3038,3281,3738,3531,4482,4215,3672,3151,3839,3517,3754,1792,3005,2218,3197,2598,2920,2241,2660,2912,2772,3729,3600,3411,3132,3564,3762,3619,3456,3572,3148
"PICE.GLA",18167,15909,17470,17807,16765,12082,16860,14792,15206,18166,17708,17679,13313,15409,16793,17496,16790,14987,13598,16251,16033,17107,13575,15746,17765,15930,17298,18008,16796,17877,15889,16942,15195,17855,17701,18038,17503,16646,18916,15755,14477,17952,16415,18211,17400,17929,18029,18289,18500,16795,16496,17598,17596,18735,18509,18064,16889,18452,17580,18470,13460,17238,15446,17926,16259,17718,13121,14990,17318,16890,17866,17496,16732,15581,17139,18527,18344,17694,17973,17536
"PICE.MAR",11849,10156,11334,11821,10921,9106,11314,10285,10733,11608,11590,12030,9707,10695,11314,11695,11352,10530,9805,10989,10971,11323,9770,10517,11731,10411,11505,12177,11114,12022,10556,10948,9869,11508,11711,11868,11265,10972,12031,10302,8564,11420,10020,11607,10648,11732,11204,12355,12049,10570,9857,10573,10061,11948,11430,11581,10545,12093,11281,11901,9555,11437,10353,11788,11075,11824,9514,10585,11555,10966,11959,11813,11116,10355,11502,11996,11684,11120,11449,10516
