"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4392","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",2234,286,1646,2367,1057,1143,2874,2008,2587,3133,3316,3315,1612,2573,3116,3349,3042,2318,1775,2738,1923,2888,937,1757,2826,1081,2302,3199,2136,3015,881,1285,177,1736,2275,3023,1673,1647,3068,559,1,1309,4,1724,563,1953,1453,3205,2658,317,10,235,15,2726,1595,2498,481,3056,1816,2591,1259,2972,1951,3054,2566,3119,1071,1821,2766,2335,3200,3307,2610,2044,2942,2987,2291,1753,2113,951
"ACER.RUB",10938,8254,10147,10790,9506,8305,11191,9554,10597,11734,12064,12213,9096,10648,11207,12288,11666,10519,9161,11187,10743,11426,8718,9928,11651,9716,11282,12387,10903,12010,9632,10224,8327,10675,11241,11972,10946,10542,12304,9263,6678,10599,8389,10893,9350,11138,10303,12534,11838,9651,8443,9842,8870,11809,11274,11470,9818,12033,10903,11701,8464,11002,9728,11781,10598,11647,8466,9854,11512,10762,12224,12323,10839,10203,11462,12048,11322,10523,11547,10073
"ACER.SAH",4354,1130,3889,3952,2639,2360,4429,3382,4264,5177,5576,5733,3737,4195,4812,6255,5146,4266,3706,4583,4104,4294,2671,3580,4543,2765,3881,5383,3731,5055,2056,3251,304,3381,3908,5055,3855,3588,5492,1368,3,3746,157,3520,1571,3634,3456,5398,4542,1911,40,1234,172,4653,3580,4179,1532,5320,3635,4401,2919,4491,3560,4985,3882,5061,3013,3645,4415,4237,5557,6037,4050,3813,4684,5017,3929,4187,4383,1628
"BETU.ALL",10818,9794,10562,10812,10540,9517,10892,10271,10913,12059,11428,12132,9675,10691,11573,11597,11735,11064,10115,10668,10448,10936,9839,10333,11622,10077,11153,12003,10749,11213,10284,10674,9651,11016,11359,11587,11042,10749,12377,10114,8377,11491,10230,11275,10450,11121,11081,11937,11528,10625,9852,10959,10569,12058,11616,11279,10335,11660,11055,11249,9735,11093,10478,11298,11033,11212,10084,10260,11224,11017,11510,11980,11258,10226,11694,12044,11482,11011,11432,10215
"BETU.PAP",4561,3680,4398,4711,4116,3678,4719,4111,4447,4882,5075,5075,3939,4450,4848,5103,4870,4473,4036,4720,4476,4717,4032,4251,4829,4160,4734,5003,4662,4919,4120,4394,3794,4586,4728,4881,4560,4478,5129,4014,3254,4454,3819,4694,4196,4692,4455,5094,4911,4155,3833,4221,3970,4963,4642,4780,4188,5041,4548,4924,3775,4651,4201,4887,4539,4869,3818,4225,4747,4486,5034,5039,4660,4353,4819,5055,4715,4554,4781,4279
"FAGU.GRA",12740,12627,12809,12880,12321,11402,12891,12011,12672,13167,12922,12670,11896,12206,12887,12851,13134,12499,12060,12590,12569,12846,12190,12510,12314,12066,12805,12964,12553,12792,13082,12430,12144,12833,13136,12968,13041,12940,12979,12063,11711,12670,12380,12900,12849,13293,12360,13135,13047,12469,12284,12298,12472,12859,12666,12734,12247,12896,12753,12851,12005,12879,12144,13049,12554,12905,11859,12665,12993,12589,13391,13075,12988,11975,12587,12879,12884,12562,12834,12512
"LARI.LAR",901,4,535,798,104,71,1426,703,1139,1593,2077,2045,664,1379,1724,2639,1940,1206,596,1542,1123,1588,195,834,1489,539,1558,2716,1233,2278,98,324,8,792,1044,1826,841,713,2121,25,0,311,0,754,31,933,336,1876,1456,19,1,124,3,2185,1126,1266,28,1988,831,1467,36,1294,427,1671,1050,1292,55,637,1180,931,2369,2663,1692,1140,1987,1980,1172,841,1298,85
"PICE.GLA",14645,10428,13865,15011,12204,10119,15030,12049,13478,15750,16215,16203,10719,13319,15395,16449,15408,13296,11688,14862,13987,15503,10719,12735,15677,12001,15012,16442,14338,16442,11754,13582,10107,14610,15232,16515,14697,13949,16709,11555,7825,13542,10846,14928,12264,15062,14292,16447,16103,12525,11239,13091,11355,16249,14932,15600,12165,16802,14396,16201,10477,14992,12800,16118,14421,15801,10586,12581,15155,14530,16818,16418,15704,13147,16143,16184,15593,14580,15556,13108
"PICE.MAR",6544,2158,5847,6795,4384,3818,7925,6229,7172,8393,8691,9174,5709,7084,8173,9644,8321,7072,5564,7843,6897,7807,4690,5957,7927,5076,6840,8737,6697,8531,3324,4818,1608,5756,6867,8419,6153,5753,8896,3809,0,4457,137,5712,2226,6213,4705,8368,7677,1950,41,1552,71,7579,5480,7023,2527,8414,5718,7403,4601,7594,6201,8271,7725,7880,4517,6273,7779,6915,8971,9354,7693,6476,8003,8133,6740,5589,7057,3077
"PINU.BAN",8579,8130,8499,8564,8343,8017,8599,8266,8453,8674,8748,8819,8184,8493,8665,8820,8665,8460,8243,8587,8499,8643,8167,8422,8717,8366,8637,8823,8603,8749,8408,8530,8152,8618,8724,8786,8615,8539,8843,8305,7940,8628,8306,8692,8446,8715,8583,8831,8819,8399,8241,8434,8341,8729,8621,8607,8346,8716,8540,8683,7905,8614,8194,8690,8503,8611,8083,8351,8551,8476,8773,8733,8581,8387,8678,8755,8640,8601,8681,8440
"PINU.RES",11133,9889,10753,10903,10449,9828,10961,10245,10803,11314,11440,11364,10099,10669,11100,11466,11289,10496,10060,11087,10975,11152,10166,10561,11334,10491,10950,11572,10826,11331,10571,10703,10051,10885,11210,11391,10913,10725,11765,10399,9474,11036,10140,11167,10841,11336,10920,11617,11497,10479,10425,10746,10352,11594,10953,11121,10644,11344,10999,11340,9700,10960,10374,11411,10752,10900,9635,10485,11167,10680,11450,11588,11219,10624,11249,11424,11147,11100,11287,10821
"PINU.STR",14701,13468,13735,14553,13704,12840,14462,13738,14044,14398,15107,14261,13013,14572,14680,14307,14756,13648,13521,14576,14694,14659,13042,13926,14667,13269,14995,15026,14015,14901,13932,13984,13455,14646,14239,14490,14572,14369,14639,13870,12735,14579,13702,14564,14766,14617,14308,15008,14726,13788,13611,14294,13748,14728,15043,14808,13699,14848,14247,15714,12693,14231,13425,15030,14223,14689,12525,13948,14531,14191,14842,15289,14463,13896,14723,14602,14597,14141,14600,14260
"POPU.TRE",8774,6692,8151,8801,7758,6569,9001,7768,8298,9338,9640,9711,7259,8535,9219,9742,9302,8205,7441,8950,8654,9071,7259,8099,9307,7665,8952,9779,8707,9426,7771,8348,6768,8668,9096,9486,8719,8318,9822,7521,5310,8485,6819,8783,7625,8952,8398,9707,9341,7719,6864,8013,7327,9435,8949,9016,7789,9593,8650,9497,6838,9003,8115,9441,8689,9483,6866,7755,9027,8628,9691,9705,8821,8078,9048,9538,9168,8636,8957,7909
