"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4392","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.614,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.737,0.692,0.737,0.737,0.692,0.692,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.786,0.786,0.786,0.786,0.737,0.737,0.737,0.737,0.737,0.786,0.786,0.786,0.786,0.786,0.737,0.737,0.737,0.737,0.737,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.737
"ACER.RUB",0.214,0.094,0.094,0.094,0.096,0,0,0,0,0,0.093,0.094,0,0.092,0.093,0.09,0.093,0.092,0,0.092,0.094,0.093,0.093,0.093,0.581,0.201,0.418,0.214,0.21,0.21,0.692,0.692,0.692,0.692,0.692,0.581,0.737,0.614,0.651,0.614,0.786,0.737,0.786,0.737,0.786,0.692,0.692,0.614,0.614,0.692,0.786,0.786,0.786,0.737,0.786,0.692,0.737,0.692,0.692,0.692,0,0,0,0,0,0.094,0,0,0.092,0.091,0.092,0,0,0,0.09,0.214,0.246,0.246,0.214,0.523
"ACER.SAH",0.401,0.09,0.09,0.173,0.173,0,0,0,0,0,0.09,0.097,0,0.089,0.09,0.088,0.09,0.045,0,0.09,0.093,0.09,0.09,0.092,0.183,0.197,0.214,0.205,0.205,0.205,0.455,0.523,0.435,0.551,0.551,0.21,0.551,0.214,0.455,0.214,0.692,0.581,0.581,0.692,0.692,0.498,0.523,0.435,0.418,0.523,0.692,0.692,0.692,0.692,0.692,0.551,0.651,0.551,0.551,0.551,0,0,0,0,0,0.173,0,0,0,0,0.09,0,0,0.045,0.09,0.205,0.219,0.21,0.205,0.219
"BETU.ALL",0.581,0.435,0.435,0.455,0.455,0.09,0.09,0.09,0.09,0.09,0.097,0.197,0.089,0.095,0.095,0.09,0.183,0.09,0.09,0.092,0.201,0.183,0.18,0.183,0.21,0.229,0.435,0.401,0.24,0.24,0.692,0.692,0.692,0.692,0.692,0.435,0.692,0.551,0.692,0.418,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.614,0.614,0.692,0.737,0.737,0.737,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0,0.09,0.09,0.092,0,0.201,0.09,0.09,0.09,0.09,0.173,0.09,0.095,0.095,0.173,0.234,0.551,0.401,0.234,0.551
"BETU.PAP",0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.838,0.786,0.838,0.838,0.786,0.786,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.944,0.944,0.944,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.838
"FAGU.GRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0.09,0.435,0.401,0.418,0.18,0.194,0,0,0.194,0.551,0.581,0.581,0.214,0.523,0.18,0.201,0.197,0.194,0.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARI.LAR",0.737,0.737,0.786,0.737,0.786,0.737,0.786,0.786,0.737,0.786,0.786,0.786,0.737,0.786,0.737,0.786,0.786,0.737,0.786,0.786,0.786,0.737,0.737,0.737,0.838,0.786,0.838,0.838,0.786,0.786,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.737,0.944,0.838,0.944,0.944,0.944,0.838,0.838,0.838,0.838,0.838,0.944,0.893,0.944,0.838,0.944,0.838,0.838,0.838,0.838,0.838,0.737,0.786,0.737,0.786,0.737,0.786,0.692,0.737,0.737,0.737,0.786,0.786,0.786,0.737,0.786,0.786,0.786,0.786,0.737,0.838
"PICE.GLA",0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.581,0.581,0.581,0.614,0.551,0.581,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.651,0.651,0.651,0.651,0.651,0.614,0.651,0.614,0.614,0.614,0.651,0.651,0.651,0.651,0.651,0.614,0.651,0.614,0.614,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.581,0.614,0.581,0.614,0.581,0.614,0.614,0.614,0.614,0.614,0.581,0.551,0.581,0.581,0.581,0.614,0.614,0.614,0.614,0.614
"PICE.MAR",0.614,0.614,0.614,0.581,0.614,0.551,0.614,0.614,0.614,0.581,0.614,0.614,0.551,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.581,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.651,0.651,0.651,0.651,0.651,0.614,0.651,0.614,0.614,0.614,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.614,0.614,0.581,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.581,0.614,0.581,0.614,0.581,0.614,0.581,0.614,0.614,0.614,0.614,0.581,0.581,0.581,0.581,0.614,0.614,0.614,0.614,0.614
