"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",0.786,0.786,0.786,0.359,0.786,0,0.786,0.786,0.692,0.737,0,0.786,0.786,0.786,0.523,0.614,0.786,0.692,0.786,0.786,0.786,0.786,0.401,0.786,0.737,0,0,0.737,0,0.162,0.155,0.288,0.737,0.581,0.737,0.737,0.581,0.737,0.737,0.737,0.692,0.737,0.551,0.197,0.737,0.359,0.692,0.692,0.581,0.651,0.124,0.692,0.581,0.581,0.651,0.737,0.581,0.692,0.581,0.692,0.737,0.786,0.786,0.737,0.786,0.786,0.692,0.786,0.692,0.786,0.786,0.786,0.786,0.786,0.737,0.737,0.737,0.581,0.737
"ACER.RUB",0.737,0.737,0.737,0.786,0.786,0,0.737,0.737,0.737,0.737,0,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.786,0.737,0.737,0.786,0.737,0.786,0.176,0.737,0.786,0,0.786,0.737,0.786,0.786,0.737,0.786,0.786,0.786,0.786,0.786,0.786,0.838,0.838,0.838,0.838,0.838,0.786,0.786,0.838,0.786,0.838,0.838,0.838,0.838,0.893,0.838,0.786,0.838,0.838,0.838,0.786,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.786,0.786,0.786,0.786,0.786
"ACER.SAH",0.737,0.737,0.737,0.347,0.737,0,0.651,0.692,0.614,0.692,0,0.692,0.692,0.692,0.418,0.386,0.651,0.498,0.614,0.737,0.737,0.737,0.737,0.737,0.737,0,0,0.737,0,0.194,0.173,0.347,0.737,0.347,0.737,0.737,0.347,0.737,0.737,0.737,0.786,0.786,0.786,0.066,0.786,0.737,0.737,0.786,0.418,0.786,0.523,0.786,0.786,0.786,0.786,0.737,0.786,0.786,0.786,0.737,0.692,0.692,0.737,0.692,0.692,0.737,0.498,0.737,0.737,0.737,0.692,0.692,0.737,0.692,0.737,0.737,0.737,0.347,0.737
"BETU.ALL",0.737,0.737,0.737,0.737,0.737,0,0.737,0.737,0.737,0.737,0,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0,0.335,0.786,0,0.786,0.692,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.737,0.737,0.737,0.737,0.737,0.786,0.786,0.737,0.786,0.737,0.737,0.737,0.737,0.737,0.737,0.786,0.737,0.737,0.737,0.786,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.786,0.786,0.786,0.786,0.786
"BETU.PAP",0.838,0.838,0.838,0.838,0.893,0.067,0.893,0.893,0.838,0.893,0,0.838,0.893,0.893,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.838,0.893,0.838,0.893,0.418,0.786,0.893,0.737,0.893,0.893,0.893,0.893,0.838,0.893,0.893,0.893,0.893,0.893,0.893,0.838,0.838,0.838,0.838,0.838,0.893,0.893,0.838,0.838,0.786,0.838,0.838,0.786,0.786,0.838,0.893,0.786,0.838,0.786,0.893,0.893,0.838,0.838,0.893,0.838,0.838,0.838,0.838,0.838,0.838,0.893,0.893,0.838,0.893,0.838,0.838,0.893,0.893,0.893
"FAGU.GRA",0.692,0.692,0.692,0.692,0.692,0,0.614,0.614,0.614,0.614,0,0.692,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.692,0.692,0.692,0.692,0.692,0.692,0,0.581,0.692,0,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.737,0.737,0.737,0.737,0.737,0.692,0.692,0.737,0.692,0.737,0.737,0.737,0.737,0.786,0.737,0.692,0.737,0.737,0.737,0.692,0.614,0.692,0.692,0.614,0.614,0.692,0.651,0.692,0.692,0.692,0.614,0.692,0.692,0.614,0.737,0.692,0.692,0.692,0.692
"LARI.LAR",0.893,0.786,0.893,0.18,0.786,0,0.893,0.893,0.786,0.893,0,0.893,0.893,0.893,0.455,0.386,0.786,0.455,0.786,0.893,0.786,0.893,0.435,0.786,0.838,0,0,0.838,0,0.435,0.19,0.372,0.838,0.737,0.838,0.838,0.234,0.838,0.786,0.838,0.786,0.786,0.614,0.165,0.786,0.737,0.523,0.786,0.737,0.692,0.17,0.737,0.692,0.435,0.692,0.786,0.651,0.786,0.692,0.786,0.786,0.893,0.893,0.455,0.893,0.786,0.786,0.786,0.893,0.893,0.737,0.893,0.893,0.893,0.838,0.786,0.838,0.786,0.838
"PICE.GLA",0.614,0.614,0.614,0.523,0.581,0,0.614,0.614,0.614,0.614,0,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0,0,0.581,0,0.551,0.476,0.455,0.551,0.476,0.581,0.581,0.498,0.581,0.614,0.581,0.476,0.498,0.498,0.435,0.476,0.551,0.551,0.498,0.523,0.435,0.455,0.455,0.386,0,0.435,0.581,0.386,0.476,0.435,0.581,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.551,0.551,0.551,0.551,0.614
"PICE.MAR",0.581,0.581,0.581,0.168,0.581,0,0.614,0.614,0.581,0.614,0,0.614,0.614,0.614,0.372,0.386,0.614,0.476,0.401,0.614,0.614,0.614,0.401,0.614,0.581,0,0,0.551,0,0.173,0.117,0.11,0.523,0.126,0.581,0.551,0.229,0.551,0.581,0.551,0.455,0.476,0.476,0.043,0.418,0.234,0.435,0.498,0.435,0.435,0.117,0.347,0.347,0.186,0.435,0.551,0.347,0.476,0.272,0.386,0.614,0.614,0.614,0.614,0.614,0.581,0.372,0.614,0.614,0.581,0.523,0.614,0.614,0.551,0.523,0.551,0.551,0.272,0.581
